Round,Date,Team 1,Team 1 Goals,Team 2 Goals,Team 2,Season
Octavos Ida,1955-09-04,Sporting de Portugal,3,3,Partizan,1955-56
Octavos Ida,1955-09-07,Vörös Lobogó,6,3,Anderlecht,1955-56
Octavos Ida,1955-09-08,Servette,0,2,Real Madrid,1955-56
Octavos Ida,1955-09-14,Rot-Weiss Essen,0,4,Hibernian,1955-56
Octavos Ida,1955-09-20,Djurgården,0,0,Gwardia Warszawa,1955-56
Octavos Ida,1955-09-21,Aarhus,0,2,Stade de Reims,1955-56
Octavos Ida,1955-09-21,Rapid Wien,6,1,PSV,1955-56
Octavos Vuelta,1955-10-12,Hibernian,1,1,Rot-Weiss Essen,1955-56
Octavos Vuelta,1955-10-12,Real Madrid,5,0,Servette,1955-56
Octavos Vuelta,1955-10-12,Partizan,5,2,Sporting de Portugal,1955-56
Octavos Vuelta,1955-10-12,Gwardia Warszawa,1,4,Djurgården,1955-56
Octavos Vuelta,1955-10-19,Anderlecht,1,4,Vörös Lobogó,1955-56
Octavos Vuelta,1955-10-26,Stade de Reims,2,2,Aarhus,1955-56
Octavos Ida,1955-11-01,Milan,3,4,Saarbrücken,1955-56
Octavos Vuelta,1955-11-01,PSV,1,0,Rapid Wien,1955-56
Octavos Vuelta,1955-11-23,Saarbrücken,1,4,Milan,1955-56
Octavos Ida,1956-10-17,Manchester United,3,2,Borussia Dortmund,1956-57
Octavos Ida,1956-10-21,CDNA Sofia,8,1,Dinamo București,1956-57
Octavos Ida,1956-10-24,Rangers,2,1,Nice,1956-57
Octavos Ida,1956-10-24,Slovan Bratislava,1,0,Grasshopper,1956-57
Octavos Ida,1956-11-01,Real Madrid,4,2,Rapid Wien,1956-57
Octavos Ida,1956-11-03,Rapid JC,3,4,Crvena Zvezda,1956-57
Octavos Vuelta,1956-11-08,Crvena Zvezda,2,0,Rapid JC,1956-57
Octavos Vuelta,1956-11-14,Nice,2,1,Rangers,1956-57
Octavos Vuelta,1956-11-14,Rapid Wien,3,1,Real Madrid,1956-57
Octavos Ida,1956-11-21,Fiorentina,1,1,Norrköping,1956-57
Octavos Vuelta,1956-11-21,Borussia Dortmund,0,0,Manchester United,1956-57
Octavos Ida,1956-11-22,Atlético de Bilbao,3,2,Budapest Honvéd,1956-57
Octavos Desempate,1956-11-28,Nice,3,1,Rangers,1956-57
Octavos Vuelta,1956-11-28,Norrköping,0,1,Fiorentina,1956-57
Octavos Vuelta,1956-12-12,Grasshopper,2,0,Slovan Bratislava,1956-57
Octavos Desempate,1956-12-13,Real Madrid,2,0,Rapid Wien,1956-57
Octavos Vuelta,1956-12-20,Budapest Honvéd,3,3,Atlético de Bilbao,1956-57
Octavos Vuelta,1956-12-30,Dinamo București,3,2,CDNA Sofia,1956-57
Octavos Ida,1957-10-31,Royal Antwerp,1,2,Real Madrid,1957-58
Octavos Ida,1957-11-02,Norrköping,2,2,Crvena Zvezda,1957-58
Octavos Ida,1957-11-20,Wismut Aue,1,3,Ajax,1957-58
Octavos Ida,1957-11-20,Manchester United,3,0,Dukla Praha,1957-58
Octavos Ida,1957-11-20,Young Boys,1,1,Vasas,1957-58
