Round,Date,Team 1,Team 1 Goals,Team 2 Goals,Team 2,Season
Octavos Ida,,Sporting de Portugal,3,3,Partizan,1955-56
Octavos Ida,,Vörös Lobogó,6,3,Anderlecht,1955-56
Octavos Ida,,Servette,0,2,Real Madrid,1955-56
Octavos Ida,,Rot-Weiss Essen,0,4,Hibernian,1955-56
Octavos Ida,,Djurgården,0,0,Gwardia Warszawa,1955-56
Octavos Ida,,Aarhus,0,2,Stade de Reims,1955-56
Octavos Ida,,Rapid Wien,6,1,PSV,1955-56
Octavos Vuelta,,Hibernian,1,1,Rot-Weiss Essen,1955-56
Octavos Vuelta,,Real Madrid,5,0,Servette,1955-56
Octavos Vuelta,,Partizan,5,2,Sporting de Portugal,1955-56
Octavos Vuelta,,Gwardia Warszawa,1,4,Djurgården,1955-56
Octavos Vuelta,,Anderlecht,1,4,Vörös Lobogó,1955-56
Octavos Vuelta,,Stade de Reims,2,2,Aarhus,1955-56
Octavos Ida,,Milan,3,4,Saarbrücken,1955-56
Octavos Vuelta,,PSV,1,0,Rapid Wien,1955-56
Cuartos de final (ida),,Djurgården,1,3,Hibernian,1955-56
Octavos Vuelta,,Saarbrücken,1,4,Milan,1955-56
Cuartos de final (vuelta),,Hibernian,1,0,Djurgården,1955-56
Cuartos de final (ida),,Stade de Reims,4,2,Vörös Lobogó,1955-56
Cuartos de final (ida),,Real Madrid,4,0,Partizan,1955-56
Cuartos de final (vuelta),,Vörös Lobogó,4,4,Stade de Reims,1955-56
Cuartos de final (ida),,Rapid Wien,1,1,Milan,1955-56
Cuartos de final (vuelta),,Partizan,3,0,Real Madrid,1955-56
Cuartos de final (vuelta),,Milan,7,2,Rapid Wien,1955-56
Semifinal (ida),,Stade de Reims,2,0,Hibernian,1955-56
Semifinal (vuelta),,Hibernian,0,1,Stade de Reims,1955-56
Semifinal (ida),,Real Madrid,4,2,Milan,1955-56
Semifinal (vuelta),,Milan,2,1,Real Madrid,1955-56
Final,,Real Madrid,4,3,Stade de Reims,1955-56
Dieciseisavos de final (ida),,Borussia Dortmund,4,3,Spora,1956-57
Dieciseisavos de final (ida),,Dinamo București,3,1,Galatasaray,1956-57
Dieciseisavos de final (vuelta),,Spora,2,1,Borussia Dortmund,1956-57
Dieciseisavos de final (ida),,Slovan Bratislava,4,0,CWKS Warszawa,1956-57
Dieciseisavos de final (ida),,Anderlecht,0,2,Manchester United,1956-57
Dieciseisavos de final (desempate),,Borussia Dortmund,7,0,Spora,1956-57
Dieciseisavos de final (ida),,Aarhus,1,1,Nice,1956-57
Dieciseisavos de final (vuelta),,CWKS Warszawa,2,0,Slovan Bratislava,1956-57
Dieciseisavos de final (ida),,Porto,1,2,Atlético de Bilbao,1956-57
Dieciseisavos de final (vuelta),,Manchester United,10,0,Anderlecht,1956-57
Dieciseisavos de final (vuelta),,Atlético de Bilbao,3,2,Porto,1956-57
Dieciseisavos de final (vuelta),,Nice,5,1,Aarhus,1956-57
Dieciseisavos de final (vuelta),,Galatasaray,2,1,Dinamo București,1956-57
Octavos Ida,,Manchester United,3,2,Borussia Dortmund,1956-57
Octavos Ida,,CDNA Sofia,8,1,Dinamo București,1956-57
Octavos Ida,,Rangers,2,1,Nice,1956-57
Octavos Ida,,Slovan Bratislava,1,0,Grasshopper,1956-57
Octavos Ida,,Real Madrid,4,2,Rapid Wien,1956-57
Octavos Ida,,Rapid JC,3,4,Crvena Zvezda,1956-57
Octavos Vuelta,,Crvena Zvezda,2,0,Rapid JC,1956-57
Octavos Vuelta,,Nice,2,1,Rangers,1956-57
Octavos Vuelta,,Rapid Wien,3,1,Real Madrid,1956-57
Octavos Ida,,Fiorentina,1,1,Norrköping,1956-57
Octavos Vuelta,,Borussia Dortmund,0,0,Manchester United,1956-57
Octavos Ida,,Atlético de Bilbao,3,2,Budapest Honvéd,1956-57
Octavos Desempate,,Nice,3,1,Rangers,1956-57
Octavos Vuelta,,Norrköping,0,1,Fiorentina,1956-57
Octavos Vuelta,,Grasshopper,2,0,Slovan Bratislava,1956-57
Octavos Desempate,,Real Madrid,2,0,Rapid Wien,1956-57
Octavos Vuelta,,Budapest Honvéd,3,3,Atlético de Bilbao,1956-57
Octavos Vuelta,,Dinamo București,3,2,CDNA Sofia,1956-57
Cuartos de final (ida),,Atlético de Bilbao,5,3,Manchester United,1956-57
Cuartos de final (ida),,Fiorentina,3,1,Grasshopper,1956-57
Cuartos de final (vuelta),,Manchester United,3,0,Atlético de Bilbao,1956-57
Cuartos de final (ida),,Real Madrid,3,0,Nice,1956-57
Cuartos de final (ida),,Crvena Zvezda,3,1,CDNA Sofia,1956-57
Cuartos de final (vuelta),,CDNA Sofia,2,1,Crvena Zvezda,1956-57
Cuartos de final (vuelta),,Grasshopper,2,2,Fiorentina,1956-57
Cuartos de final (vuelta),,Nice,2,3,Real Madrid,1956-57
Semifinal (ida),,Crvena Zvezda,0,1,Fiorentina,1956-57
Semifinal (ida),,Real Madrid,3,1,Manchester United,1956-57
Semifinal (vuelta),,Fiorentina,0,0,Crvena Zvezda,1956-57
Semifinal (vuelta),,Manchester United,2,2,Real Madrid,1956-57
Final,,Real Madrid,2,0,Fiorentina,1956-57
Dieciseisavos de final (ida),,Rangers,3,1,Saint-Étienne,1957-58
Dieciseisavos de final (ida),,CDNA Sofia,2,1,Vasas,1957-58
Dieciseisavos de final (ida),,Stade Dudelange,0,5,Crvena Zvezda,1957-58
Dieciseisavos de final (ida),,Gwardia Warszawa,3,1,Wismut Aue,1957-58
Dieciseisavos de final (ida),,Aarhus,0,0,Glenavon,1957-58
